Source_EMP_ID,Target_EMP_ID,Interaction_Type,Interaction_Type_Code,Interaction_Frequency,Interaction_Frequency_Weight,Awareness_Score,Energy_Score,Nomination_Rank
EMP_027,EMP_007,Soft,0,Monthly,0.33,3,3,3
EMP_028,EMP_210,Soft,0,Weekly,0.67,3,4,1
EMP_028,EMP_022,Soft,0,Weekly,0.67,5,4,2
EMP_028,EMP_221,Soft,0,Weekly,0.67,5,5,3
EMP_029,EMP_247,Hard,1,Monthly,0.33,3,3,1
EMP_029,EMP_232,Soft,0,Weekly,0.67,4,3,1
EMP_029,EMP_105,Soft,0,Monthly,0.33,3,4,2
EMP_031,EMP_134,Hard,1,Weekly,0.67,3,5,1
EMP_031,EMP_196,Soft,0,Rarely,0.10,1,2,1
EMP_031,EMP_042,Soft,0,Weekly,0.67,5,5,2
EMP_032,EMP_198,Hard,1,Monthly,0.33,3,4,1
EMP_032,EMP_211,Soft,0,Weekly,0.67,4,5,1
EMP_033,EMP_247,Hard,1,Daily,1.00,5,5,1
EMP_033,EMP_231,Hard,1,Weekly,0.67,4,3,2
EMP_033,EMP_151,Hard,1,Monthly,0.33,3,2,3
EMP_033,EMP_267,Soft,0,Weekly,0.67,4,4,1
EMP_033,EMP_137,Soft,0,Monthly,0.33,2,2,2
EMP_034,EMP_247,Hard,1,Daily,1.00,5,5,1
EMP_034,EMP_144,Soft,0,Weekly,0.67,3,3,1
EMP_035,EMP_219,Hard,1,Daily,1.00,5,4,1
EMP_035,EMP_210,Soft,0,Daily,1.00,5,5,1
EMP_035,EMP_154,Soft,0,Rarely,0.10,2,1,2
EMP_038,EMP_159,Hard,1,Daily,1.00,4,4,1
EMP_038,EMP_189,Hard,1,Daily,1.00,4,4,2
EMP_038,EMP_298,Soft,0,Monthly,0.33,3,2,1
EMP_038,EMP_064,Soft,0,Monthly,0.33,3,2,2
EMP_039,EMP_126,Hard,1,Weekly,0.67,5,3,1
EMP_039,EMP_204,Hard,1,Daily,1.00,5,5,2
EMP_039,EMP_019,Hard,1,Daily,1.00,5,5,3
EMP_039,EMP_130,Soft,0,Monthly,0.33,2,4,1
EMP_039,EMP_089,Soft,0,Daily,1.00,5,4,2
EMP_040,EMP_198,Hard,1,Daily,1.00,4,5,1
EMP_040,EMP_232,Soft,0,Daily,1.00,5,4,1
EMP_041,EMP_287,Hard,1,Monthly,0.33,4,3,1
EMP_041,EMP_105,Hard,1,Daily,1.00,5,4,2
EMP_041,EMP_197,Soft,0,Rarely,0.10,2,3,1
EMP_041,EMP_260,Soft,0,Weekly,0.67,5,4,2
EMP_041,EMP_066,Soft,0,Daily,1.00,4,4,3
EMP_042,EMP_159,Hard,1,Weekly,0.67,5,5,1
EMP_042,EMP_139,Hard,1,Monthly,0.33,4,3,2
EMP_042,EMP_062,Soft,0,Daily,1.00,4,5,1
EMP_042,EMP_208,Soft,0,Rarely,0.10,3,3,2
EMP_042,EMP_019,Soft,0,Monthly,0.33,3,4,3
EMP_043,EMP_194,Hard,1,Monthly,0.33,3,2,1
EMP_043,EMP_114,Hard,1,Daily,1.00,5,4,2
EMP_043,EMP_217,Soft,0,Daily,1.00,4,4,1
EMP_043,EMP_149,Soft,0,Daily,1.00,5,4,2
EMP_044,EMP_166,Hard,1,Weekly,0.67,4,3,1
EMP_044,EMP_298,Soft,0,Rarely,0.10,1,3,1
EMP_045,EMP_075,Hard,1,Weekly,0.67,3,4,1
EMP_045,EMP_263,Hard,1,Monthly,0.33,2,3,2
EMP_045,EMP_051,Soft,0,Monthly,0.33,2,2,1
EMP_045,EMP_289,Soft,0,Weekly,0.67,3,4,2
EMP_046,EMP_159,Hard,1,Monthly,0.33,3,3,1
EMP_046,EMP_207,Soft,0,Weekly,0.67,4,5,1
EMP_047,EMP_166,Hard,1,Daily,1.00,4,4,1
EMP_047,EMP_180,Hard,1,Monthly,0.33,3,3,2
EMP_047,EMP_150,Hard,1,Rarely,0.10,3,3,3
EMP_047,EMP_062,Soft,0,Daily,1.00,5,4,1
EMP_047,EMP_090,Soft,0,Weekly,0.67,5,4,2
EMP_047,EMP_193,Soft,0,Monthly,0.33,3,3,3
EMP_048,EMP_219,Hard,1,Rarely,0.10,2,3,1
EMP_048,EMP_291,Hard,1,Weekly,0.67,4,4,2
EMP_048,EMP_065,Soft,0,Daily,1.00,4,4,1
EMP_048,EMP_007,Soft,0,Weekly,0.67,4,3,2
EMP_049,EMP_215,Hard,1,Weekly,0.67,2,3,1
EMP_050,EMP_247,Hard,1,Daily,1.00,5,5,1
EMP_050,EMP_153,Hard,1,Daily,1.00,5,5,2
EMP_050,EMP_288,Soft,0,Rarely,0.10,3,1,1
EMP_050,EMP_245,Soft,0,Rarely,0.10,2,1,2
EMP_052,EMP_048,Hard,1,Monthly,0.33,2,4,1
EMP_053,EMP_218,Hard,1,Weekly,0.67,4,4,1
EMP_053,EMP_197,Soft,0,Monthly,0.33,3,3,1
EMP_053,EMP_163,Soft,0,Weekly,0.67,3,5,2
EMP_053,EMP_025,Soft,0,Monthly,0.33,3,4,3
EMP_054,EMP_046,Hard,1,Rarely,0.10,2,2,1
EMP_054,EMP_015,Hard,1,Weekly,0.67,4,5,2
EMP_054,EMP_080,Soft,0,Monthly,0.33,3,3,1
EMP_054,EMP_147,Soft,0,Weekly,0.67,4,3,2
EMP_054,EMP_241,Soft,0,Weekly,0.67,4,5,3
EMP_055,EMP_159,Hard,1,Daily,1.00,5,4,1
EMP_055,EMP_029,Hard,1,Weekly,0.67,5,4,2
EMP_055,EMP_018,Hard,1,Weekly,0.67,3,5,3
EMP_055,EMP_056,Soft,0,Monthly,0.33,3,2,1
EMP_055,EMP_237,Soft,0,Monthly,0.33,4,4,2
EMP_056,EMP_247,Hard,1,Rarely,0.10,2,3,1
EMP_056,EMP_193,Hard,1,Weekly,0.67,4,5,2
EMP_056,EMP_267,Soft,0,Rarely,0.10,2,3,1
EMP_056,EMP_029,Soft,0,Monthly,0.33,3,4,2
EMP_057,EMP_181,Hard,1,Rarely,0.10,2,2,1
EMP_057,EMP_282,Hard,1,Rarely,0.10,2,2,2
EMP_057,EMP_114,Soft,0,Rarely,0.10,2,1,1
EMP_057,EMP_146,Soft,0,Monthly,0.33,4,3,2
EMP_058,EMP_011,Hard,1,Daily,1.00,5,4,1
EMP_058,EMP_225,Soft,0,Daily,1.00,4,5,1
EMP_058,EMP_078,Soft,0,Monthly,0.33,3,2,2
EMP_060,EMP_170,Hard,1,Rarely,0.10,2,2,1
EMP_060,EMP_075,Hard,1,Weekly,0.67,5,3,2
EMP_060,EMP_087,Hard,1,Weekly,0.67,4,5,3
EMP_060,EMP_196,Soft,0,Monthly,0.33,3,2,1
EMP_061,EMP_068,Hard,1,Weekly,0.67,5,5,1
EMP_061,EMP_123,Hard,1,Weekly,0.67,3,4,2
EMP_061,EMP_101,Hard,1,Weekly,0.67,5,3,3
EMP_061,EMP_252,Soft,0,Weekly,0.67,4,5,1
EMP_061,EMP_007,Soft,0,Weekly,0.67,4,5,2
EMP_062,EMP_166,Hard,1,Weekly,0.67,4,5,1
EMP_062,EMP_230,Soft,0,Daily,1.00,4,5,1
EMP_062,EMP_169,Soft,0,Daily,1.00,5,5,2
EMP_063,EMP_198,Hard,1,Weekly,0.67,4,3,1
EMP_063,EMP_220,Hard,1,Rarely,0.10,2,2,2
EMP_063,EMP_067,Hard,1,Daily,1.00,4,5,3
EMP_063,EMP_164,Soft,0,Monthly,0.33,3,2,1
EMP_063,EMP_295,Soft,0,Monthly,0.33,3,3,2
EMP_064,EMP_247,Hard,1,Daily,1.00,4,5,1
EMP_064,EMP_164,Soft,0,Monthly,0.33,3,2,1
EMP_064,EMP_040,Soft,0,Daily,1.00,4,5,2
EMP_064,EMP_018,Soft,0,Weekly,0.67,3,5,3
EMP_065,EMP_114,Soft,0,Daily,1.00,4,5,1
EMP_065,EMP_025,Soft,0,Weekly,0.67,4,5,2
EMP_066,EMP_198,Hard,1,Daily,1.00,5,5,1
EMP_066,EMP_169,Hard,1,Monthly,0.33,3,4,2
EMP_066,EMP_298,Soft,0,Weekly,0.67,5,3,1
EMP_066,EMP_177,Soft,0,Monthly,0.33,4,4,2
EMP_066,EMP_244,Soft,0,Daily,1.00,5,5,3
EMP_068,EMP_068,Hard,1,Daily,1.00,5,5,1
EMP_068,EMP_092,Hard,1,Daily,1.00,4,5,2
EMP_068,EMP_158,Soft,0,Rarely,0.10,2,2,1
EMP_068,EMP_298,Soft,0,Daily,1.00,5,5,2
EMP_069,EMP_159,Hard,1,Weekly,0.67,3,5,1
EMP_069,EMP_111,Hard,1,Weekly,0.67,3,5,2
EMP_069,EMP_252,Soft,0,Rarely,0.10,3,1,1
EMP_069,EMP_117,Soft,0,Weekly,0.67,3,5,2
EMP_069,EMP_033,Soft,0,Monthly,0.33,3,2,3
EMP_070,EMP_247,Hard,1,Rarely,0.10,3,3,1
EMP_070,EMP_114,Soft,0,Weekly,0.67,3,5,1
EMP_070,EMP_045,Soft,0,Monthly,0.33,2,2,2
EMP_070,EMP_105,Soft,0,Weekly,0.67,4,4,3
EMP_071,EMP_076,Hard,1,Monthly,0.33,2,2,1
EMP_072,EMP_126,Hard,1,Daily,1.00,4,5,1
EMP_072,EMP_279,Hard,1,Monthly,0.33,3,3,2
EMP_072,EMP_176,Soft,0,Monthly,0.33,4,3,1
EMP_072,EMP_009,Soft,0,Rarely,0.10,1,3,2
EMP_072,EMP_141,Soft,0,Weekly,0.67,4,5,3
EMP_073,EMP_179,Hard,1,Daily,1.00,5,5,1
EMP_073,EMP_196,Soft,0,Rarely,0.10,2,1,1
EMP_073,EMP_097,Soft,0,Rarely,0.10,2,2,2
EMP_073,EMP_055,Soft,0,Rarely,0.10,2,2,3
EMP_074,EMP_159,Hard,1,Weekly,0.67,5,4,1
EMP_074,EMP_210,Soft,0,Weekly,0.67,5,3,1
EMP_074,EMP_088,Soft,0,Weekly,0.67,4,3,2
EMP_074,EMP_278,Soft,0,Daily,1.00,5,5,3
EMP_075,EMP_247,Hard,1,Weekly,0.67,4,3,1
EMP_075,EMP_117,Hard,1,Monthly,0.33,4,3,2
EMP_075,EMP_105,Soft,0,Monthly,0.33,4,2,1
EMP_075,EMP_066,Soft,0,Daily,1.00,4,5,2
EMP_075,EMP_142,Soft,0,Weekly,0.67,4,5,3
EMP_076,EMP_056,Hard,1,Daily,1.00,5,5,1
EMP_076,EMP_073,Hard,1,Daily,1.00,5,5,2
EMP_076,EMP_058,Hard,1,Rarely,0.10,1,2,3
EMP_076,EMP_114,Soft,0,Monthly,0.33,2,2,1
EMP_076,EMP_238,Soft,0,Monthly,0.33,3,3,2
EMP_076,EMP_074,Soft,0,Weekly,0.67,4,3,3
EMP_077,EMP_218,Hard,1,Rarely,0.10,1,2,1
EMP_077,EMP_256,Hard,1,Weekly,0.67,4,5,2
EMP_077,EMP_131,Hard,1,Daily,1.00,5,5,3
EMP_077,EMP_108,Soft,0,Weekly,0.67,3,4,1
EMP_078,EMP_126,Hard,1,Weekly,0.67,5,5,1
EMP_078,EMP_205,Soft,0,Daily,1.00,5,5,1
EMP_078,EMP_090,Soft,0,Weekly,0.67,3,5,2
EMP_078,EMP_254,Soft,0,Daily,1.00,5,4,3
EMP_079,EMP_105,Hard,1,Daily,1.00,4,5,1
EMP_079,EMP_091,Hard,1,Daily,1.00,4,5,2
EMP_079,EMP_030,Soft,0,Daily,1.00,4,5,1
EMP_080,EMP_126,Hard,1,Daily,1.00,5,5,1
EMP_080,EMP_094,Soft,0,Weekly,0.67,4,5,1
EMP_080,EMP_275,Soft,0,Daily,1.00,4,5,2
EMP_080,EMP_101,Soft,0,Weekly,0.67,4,5,3
EMP_081,EMP_068,Hard,1,Monthly,0.33,3,2,1
EMP_081,EMP_232,Soft,0,Daily,1.00,4,5,1
EMP_082,EMP_068,Hard,1,Daily,1.00,5,5,1
EMP_082,EMP_285,Hard,1,Monthly,0.33,2,3,2
EMP_082,EMP_006,Soft,0,Daily,1.00,5,5,1
EMP_082,EMP_191,Soft,0,Daily,1.00,5,5,2
EMP_083,EMP_159,Hard,1,Monthly,0.33,4,2,1
EMP_083,EMP_289,Hard,1,Weekly,0.67,5,5,2
EMP_083,EMP_121,Hard,1,Weekly,0.67,3,4,3
EMP_083,EMP_267,Soft,0,Weekly,0.67,4,5,1
EMP_083,EMP_252,Soft,0,Rarely,0.10,1,2,2
EMP_084,EMP_247,Hard,1,Weekly,0.67,4,4,1
EMP_084,EMP_156,Soft,0,Daily,1.00,5,4,1
EMP_084,EMP_232,Soft,0,Rarely,0.10,2,1,2
EMP_084,EMP_129,Soft,0,Daily,1.00,4,5,3
EMP_085,EMP_198,Hard,1,Daily,1.00,5,5,1
EMP_085,EMP_015,Hard,1,Monthly,0.33,2,4,2
EMP_085,EMP_065,Soft,0,Rarely,0.10,2,2,1
EMP_085,EMP_243,Soft,0,Rarely,0.10,3,1,2
EMP_085,EMP_285,Soft,0,Weekly,0.67,4,4,3
EMP_086,EMP_126,Hard,1,Monthly,0.33,2,2,1
EMP_086,EMP_226,Hard,1,Monthly,0.33,2,3,2
EMP_086,EMP_080,Soft,0,Monthly,0.33,4,4,1
EMP_088,EMP_074,Hard,1,Weekly,0.67,5,5,1
EMP_088,EMP_267,Soft,0,Monthly,0.33,2,3,1
EMP_088,EMP_075,Soft,0,Weekly,0.67,4,3,2
EMP_090,EMP_218,Hard,1,Weekly,0.67,4,4,1
EMP_090,EMP_201,Soft,0,Weekly,0.67,4,4,1
EMP_090,EMP_060,Soft,0,Daily,1.00,5,4,2
EMP_091,EMP_126,Hard,1,Daily,1.00,5,5,1
EMP_091,EMP_016,Hard,1,Weekly,0.67,5,4,2
EMP_091,EMP_052,Hard,1,Rarely,0.10,1,3,3
EMP_091,EMP_173,Soft,0,Monthly,0.33,3,3,1
EMP_091,EMP_182,Soft,0,Daily,1.00,4,4,2
EMP_092,EMP_198,Hard,1,Weekly,0.67,5,5,1
EMP_092,EMP_131,Hard,1,Monthly,0.33,2,2,2
EMP_092,EMP_013,Hard,1,Monthly,0.33,4,2,3
EMP_092,EMP_144,Soft,0,Daily,1.00,5,5,1
EMP_092,EMP_043,Soft,0,Weekly,0.67,4,3,2
EMP_092,EMP_262,Soft,0,Rarely,0.10,2,3,3
EMP_093,EMP_219,Hard,1,Monthly,0.33,3,2,1
EMP_093,EMP_056,Hard,1,Weekly,0.67,5,4,2
EMP_093,EMP_035,Hard,1,Weekly,0.67,5,4,3
EMP_093,EMP_197,Soft,0,Daily,1.00,5,5,1
EMP_093,EMP_232,Soft,0,Daily,1.00,5,5,2
EMP_093,EMP_144,Soft,0,Weekly,0.67,5,5,3
EMP_094,EMP_159,Hard,1,Weekly,0.67,4,4,1
EMP_094,EMP_176,Soft,0,Weekly,0.67,5,5,1
EMP_094,EMP_237,Soft,0,Monthly,0.33,3,3,2
EMP_095,EMP_166,Hard,1,Daily,1.00,5,4,1
EMP_095,EMP_132,Soft,0,Weekly,0.67,3,5,1
EMP_096,EMP_166,Hard,1,Daily,1.00,5,5,1
EMP_096,EMP_025,Hard,1,Rarely,0.10,1,2,2
EMP_096,EMP_172,Hard,1,Weekly,0.67,3,4,3
EMP_096,EMP_065,Soft,0,Monthly,0.33,3,4,1
EMP_097,EMP_280,Hard,1,Daily,1.00,5,5,1
EMP_097,EMP_081,Hard,1,Weekly,0.67,4,5,2
EMP_097,EMP_137,Hard,1,Monthly,0.33,4,2,3
EMP_097,EMP_272,Soft,0,Weekly,0.67,4,3,1
EMP_097,EMP_092,Soft,0,Monthly,0.33,4,2,2
EMP_097,EMP_174,Soft,0,Weekly,0.67,4,4,3
EMP_098,EMP_024,Hard,1,Monthly,0.33,3,3,1
EMP_098,EMP_007,Hard,1,Daily,1.00,5,5,2
EMP_098,EMP_062,Soft,0,Monthly,0.33,3,2,1
EMP_098,EMP_144,Soft,0,Weekly,0.67,5,4,2
EMP_098,EMP_159,Soft,0,Daily,1.00,4,5,3
EMP_099,EMP_126,Hard,1,Daily,1.00,5,5,1
EMP_099,EMP_197,Soft,0,Monthly,0.33,2,3,1
EMP_101,EMP_068,Hard,1,Monthly,0.33,3,2,1
EMP_101,EMP_007,Hard,1,Monthly,0.33,3,3,2
EMP_101,EMP_224,Hard,1,Daily,1.00,5,5,3
EMP_101,EMP_279,Soft,0,Weekly,0.67,5,3,1
EMP_101,EMP_008,Soft,0,Monthly,0.33,3,4,2
EMP_102,EMP_198,Hard,1,Monthly,0.33,4,2,1
EMP_102,EMP_053,Soft,0,Weekly,0.67,4,4,1
EMP_102,EMP_250,Soft,0,Monthly,0.33,2,4,2
EMP_103,EMP_247,Hard,1,Daily,1.00,5,5,1
EMP_103,EMP_021,Hard,1,Monthly,0.33,3,4,2
EMP_103,EMP_272,Hard,1,Monthly,0.33,3,4,3
EMP_103,EMP_207,Soft,0,Daily,1.00,5,4,1
EMP_103,EMP_078,Soft,0,Monthly,0.33,4,3,2
EMP_103,EMP_123,Soft,0,Weekly,0.67,5,4,3
EMP_104,EMP_068,Hard,1,Monthly,0.33,3,4,1
EMP_104,EMP_163,Hard,1,Rarely,0.10,2,3,2
EMP_104,EMP_267,Soft,0,Daily,1.00,5,5,1
EMP_104,EMP_241,Soft,0,Weekly,0.67,4,4,2
EMP_104,EMP_093,Soft,0,Weekly,0.67,4,5,3
EMP_105,EMP_159,Hard,1,Daily,1.00,4,5,1
EMP_105,EMP_090,Soft,0,Monthly,0.33,3,4,1
EMP_105,EMP_107,Soft,0,Daily,1.00,5,5,2
EMP_105,EMP_214,Soft,0,Weekly,0.67,4,5,3
EMP_107,EMP_219,Hard,1,Weekly,0.67,4,4,1
EMP_107,EMP_080,Hard,1,Monthly,0.33,4,3,2
EMP_107,EMP_268,Hard,1,Monthly,0.33,4,4,3
EMP_107,EMP_248,Soft,0,Monthly,0.33,4,3,1
EMP_107,EMP_173,Soft,0,Daily,1.00,5,4,2
EMP_107,EMP_276,Soft,0,Weekly,0.67,4,4,3
EMP_108,EMP_126,Hard,1,Monthly,0.33,3,3,1
EMP_108,EMP_232,Soft,0,Weekly,0.67,4,5,1
EMP_108,EMP_243,Soft,0,Weekly,0.67,3,5,2
EMP_108,EMP_245,Soft,0,Weekly,0.67,5,4,3
EMP_109,EMP_185,Hard,1,Monthly,0.33,3,3,1
EMP_109,EMP_049,Soft,0,Weekly,0.67,3,5,1
EMP_109,EMP_133,Soft,0,Weekly,0.67,3,5,2
EMP_111,EMP_068,Hard,1,Monthly,0.33,2,2,1
EMP_111,EMP_090,Hard,1,Daily,1.00,5,5,2
EMP_111,EMP_148,Hard,1,Weekly,0.67,3,4,3
EMP_111,EMP_273,Soft,0,Monthly,0.33,3,4,1
EMP_111,EMP_021,Soft,0,Weekly,0.67,4,3,2
EMP_111,EMP_217,Soft,0,Weekly,0.67,5,4,3
EMP_112,EMP_218,Hard,1,Rarely,0.10,2,3,1
EMP_112,EMP_178,Hard,1,Rarely,0.10,1,2,2
EMP_112,EMP_298,Soft,0,Weekly,0.67,4,5,1
EMP_112,EMP_246,Soft,0,Rarely,0.10,3,2,2
EMP_113,EMP_166,Hard,1,Daily,1.00,4,5,1
EMP_113,EMP_191,Hard,1,Weekly,0.67,4,3,2
EMP_113,EMP_286,Hard,1,Weekly,0.67,3,5,3
EMP_113,EMP_164,Soft,0,Weekly,0.67,5,3,1
EMP_113,EMP_220,Soft,0,Weekly,0.67,4,3,2
EMP_114,EMP_218,Hard,1,Rarely,0.10,1,2,1
EMP_114,EMP_197,Soft,0,Monthly,0.33,2,3,1
EMP_114,EMP_006,Soft,0,Monthly,0.33,3,3,2
EMP_114,EMP_053,Soft,0,Rarely,0.10,1,2,3
EMP_115,EMP_126,Hard,1,Weekly,0.67,4,3,1
EMP_115,EMP_177,Hard,1,Daily,1.00,5,4,2
EMP_115,EMP_102,Hard,1,Rarely,0.10,2,1,3
EMP_115,EMP_196,Soft,0,Rarely,0.10,2,3,1
EMP_116,EMP_219,Hard,1,Monthly,0.33,2,4,1
EMP_116,EMP_213,Hard,1,Monthly,0.33,4,3,2
EMP_116,EMP_272,Soft,0,Monthly,0.33,2,2,1
EMP_116,EMP_147,Soft,0,Weekly,0.67,3,5,2
EMP_116,EMP_082,Soft,0,Daily,1.00,5,5,3
EMP_117,EMP_116,Hard,1,Monthly,0.33,4,3,1
EMP_117,EMP_053,Soft,0,Weekly,0.67,4,5,1
EMP_117,EMP_239,Soft,0,Weekly,0.67,5,4,2
EMP_118,EMP_068,Hard,1,Monthly,0.33,3,4,1
EMP_118,EMP_299,Hard,1,Weekly,0.67,3,3,2
EMP_118,EMP_125,Hard,1,Rarely,0.10,1,2,3
EMP_118,EMP_017,Soft,0,Weekly,0.67,4,3,1
EMP_118,EMP_035,Soft,0,Weekly,0.67,5,5,2
EMP_119,EMP_218,Hard,1,Weekly,0.67,4,3,1
EMP_119,EMP_220,Hard,1,Weekly,0.67,3,3,2
EMP_119,EMP_181,Hard,1,Monthly,0.33,2,4,3
EMP_119,EMP_105,Soft,0,Rarely,0.10,2,1,1
EMP_119,EMP_006,Soft,0,Daily,1.00,5,5,2
EMP_119,EMP_102,Soft,0,Weekly,0.67,3,5,3
EMP_120,EMP_218,Hard,1,Monthly,0.33,4,2,1
EMP_120,EMP_118,Hard,1,Monthly,0.33,3,3,2
EMP_120,EMP_168,Hard,1,Rarely,0.10,3,2,3
EMP_120,EMP_259,Soft,0,Weekly,0.67,3,4,1
