EMP_ID,Seniority,Team,Years_Exp,Region,Profile_Type,A1_PostgreSQL,A2_Linux,A3_Python,A4_Cloud,A5_InfoMgmt,A6_Networking,A7_DataAnalytics,A8_API,A9_TechConsult,B1_English,B2_German,B3_French,B4_OtherLang,C1_ClientMeetings,C2_ScopingSessions,C3_IndustryAdvice,D1_KnowledgeSessions,D2_MentoringCount,D3_CrossTeamContrib,E1_TeamLeadCount,E2_EscalationsToMe,E3_UnblockCount,F1_IncidentsCalled,F2_ProblemConsults,F3_InnovationsAdopted,G1_MultiCountryProj,G2_CulturalBridging,H1_StakeholderExplain,H2_DocsAuthored,H3_PresentationsGiven,Peer_Nom_Tech,Peer_Nom_Client,Peer_Nom_Leader,Peer_Nom_Total,Hard_Tech_Score,Tech_Consult_Score,Lang_Score,Hard_Score,Biz_Score,Collab_Score,Lead_Score,ProbSolve_Score,Cultural_Score,Comm_Score,Soft_Score,Competence_Score
EMP_019,Junior,Data Engineering,1,Middle East,balanced,0,1,2,1,1,1,0,2,1,1,0,1,1,1,1,1,1,0,1,0,2,0,2,2,1,2,3,2,0,0,1,0,1,2,1,1,0.75,0.92,1,0.67,0.67,1.67,2.5,0.67,1.12,1.02
EMP_020,Junior,Platform Engineering,3,Africa,balanced,0,1,2,1,0,3,1,1,1,3,0,0,3,1,2,0,1,2,1,3,2,0,2,2,1,0,1,1,1,2,0,2,4,6,1.12,1,1.5,1.23,1,1.33,1.67,1.67,0.5,1.33,1.29,1.26
EMP_021,Senior,Client Services,18,Central Europe,balanced,5,3,3,2,2,4,3,3,4,5,4,2,2,4,4,4,4,3,5,3,3,3,5,4,4,3,4,5,4,4,7,6,1,14,3.12,4,3.25,3.23,4,4,3,4.33,3.5,4.33,3.88,3.56
EMP_022,Junior,Client Services,2,Western Europe,balanced,0,1,0,0,0,1,1,2,1,3,0,1,1,1,2,1,1,1,2,2,1,0,2,3,1,0,1,1,1,2,2,3,0,5,0.62,1,1.25,0.85,1.33,1.33,1,2,0.5,1.33,1.29,1.07
EMP_023,Junior,Analytics & BI,1,Africa,balanced,2,1,1,2,0,0,0,0,1,3,0,0,1,2,3,1,1,2,2,3,2,1,2,2,1,2,2,2,2,2,0,2,1,3,0.75,1,1,0.85,2,1.67,2,1.67,2,2,1.88,1.36
EMP_024,Mid-level,Analytics & BI,8,Western Europe,balanced,1,4,2,0,1,1,1,1,2,3,1,3,1,2,2,3,3,2,2,4,2,3,3,4,1,2,2,4,2,3,0,1,1,2,1.38,2,2,1.62,2.33,2.33,3,2.67,2,3,2.59,2.1
EMP_025,Senior,Analytics & BI,20,Western Europe,balanced,3,3,3,3,1,2,5,2,3,5,3,4,1,5,3,4,3,2,3,4,3,4,3,3,2,4,2,4,4,3,4,5,5,14,2.75,3,3.25,2.92,4,2.67,3.67,2.67,3,3.67,3.29,3.1
EMP_026,Senior,Data Engineering,11,Africa,balanced,5,2,3,4,3,2,3,3,5,5,1,3,5,4,3,5,4,5,5,4,3,3,3,3,4,5,3,5,2,4,4,1,3,8,3.12,5,3.5,3.38,4,4.67,3.33,3.33,4,3.67,3.82,3.6
EMP_027,Junior,Analytics & BI,2,Western Europe,balanced,0,0,2,1,0,3,1,1,2,3,2,1,2,2,1,1,2,2,2,2,0,0,2,1,1,1,2,0,0,2,1,0,0,1,1,2,2,1.38,1.33,2,0.67,1.33,1.5,0.67,1.24,1.31
EMP_028,Mid-level,Solution Architecture,7,Eastern Europe,balanced,0,2,1,2,4,2,2,1,3,3,0,1,0,3,2,3,3,1,2,3,3,3,3,3,2,3,2,3,2,2,0,2,0,2,1.75,3,1,1.62,2.67,2,3,2.67,2.5,2.33,2.53,2.08
EMP_029,Junior,Platform Engineering,2,Central Europe,alice,1,0,2,2,2,0,1,2,2,1,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,2,4,1.25,2,0.75,1.15,0.33,0,0.33,0.67,0,1,0.41,0.78
EMP_030,Senior,Data Engineering,16,Western Europe,alice,5,5,3,4,4,3,2,2,3,5,3,5,1,3,4,3,1,3,3,2,3,1,3,5,3,2,2,1,2,1,6,1,3,10,3.5,3,3.5,3.46,3.33,2.33,2,3.67,2,1.33,2.47,2.96
EMP_031,Junior,Analytics & BI,1,Central Europe,alice,1,2,3,1,2,1,1,2,2,2,1,1,0,0,1,0,0,0,0,1,0,0,3,1,1,1,0,0,0,0,1,0,0,1,1.62,2,1,1.46,0.33,0,0.33,1.67,0.5,0,0.47,0.96
EMP_032,Mid-level,Data Engineering,5,Central Europe,alice,1,5,1,2,4,2,2,2,3,4,3,3,1,0,1,3,1,2,3,1,2,2,1,2,1,1,1,0,1,0,0,0,0,0,2.38,3,2.75,2.54,1.33,2,1.67,1.33,1,0.33,1.29,1.92
EMP_033,Junior,Platform Engineering,1,Africa,balanced,1,0,1,2,0,3,1,0,0,3,0,0,2,1,2,0,1,0,1,2,1,2,1,2,0,2,2,2,0,0,0,0,2,2,1,0,1.25,1,1,0.67,1.67,1,2,0.67,1.12,1.06
EMP_034,Junior,Analytics & BI,2,Eastern Europe,balanced,1,0,3,2,1,0,1,0,2,3,1,0,0,1,1,2,2,1,1,3,2,0,1,2,0,1,2,0,1,1,1,1,2,4,1,2,1,1.08,1.33,1.33,1.67,1,1.5,0.67,1.24,1.16
EMP_035,Senior,Client Services,21,Western Europe,balanced,2,2,4,3,3,2,3,4,3,4,2,4,3,3,5,5,3,3,3,3,4,3,4,4,4,3,4,2,2,3,3,4,4,11,2.88,3,3.25,3,4.33,3,3.33,4,3.5,2.33,3.41,3.2
EMP_036,Mid-level,Client Services,8,Eastern Europe,balanced,2,1,0,2,1,4,3,2,3,4,2,1,1,3,3,3,3,2,2,3,2,0,3,2,3,2,2,2,3,3,0,0,2,2,1.88,3,2,2,3,2.33,1.67,2.67,2,2.67,2.41,2.2
EMP_037,Mid-level,Solution Architecture,7,Eastern Europe,balanced,1,1,2,1,3,2,4,3,1,3,1,0,2,4,2,2,4,3,3,3,2,2,3,3,1,1,1,1,3,2,1,0,2,3,2.12,1,1.5,1.85,2.67,3.33,2.33,2.33,1,2,2.35,2.1
EMP_038,Senior,Data Engineering,19,Western Europe,balanced,5,2,4,3,5,3,2,3,4,5,2,4,3,4,4,2,4,4,5,4,2,3,5,4,3,4,3,4,3,3,3,2,3,8,3.38,4,3.5,3.46,3.33,4.33,3,4,3.5,3.33,3.59,3.52
EMP_039,Junior,Data Engineering,1,Eastern Europe,balanced,0,0,0,0,2,0,1,1,0,3,1,0,1,1,1,0,3,1,1,1,3,2,3,2,0,2,1,2,2,1,2,1,1,4,0.5,0,1.25,0.69,0.67,1.67,2,1.67,1.5,1.67,1.53,1.11
EMP_040,Senior,Solution Architecture,8,Middle East,balanced,5,3,4,2,3,3,4,4,5,4,1,3,2,3,3,4,2,3,5,3,3,3,3,5,2,4,4,3,1,3,4,3,0,7,3.5,5,2.5,3.31,3.33,3.33,3,3.33,4,2.33,3.18,3.24
EMP_041,Senior,Data Engineering,14,Central Europe,balanced,3,3,4,2,4,4,3,2,2,5,4,2,2,4,2,3,4,2,4,3,4,3,2,5,3,3,4,5,3,4,2,2,2,6,3.12,2,3.25,3.08,3,3.33,3.33,3.33,3.5,4,3.41,3.24
EMP_042,Mid-level,Analytics & BI,4,Africa,alice,2,3,1,3,1,2,3,2,3,4,2,1,4,1,2,0,1,0,1,2,2,2,1,2,0,1,2,1,0,0,1,0,0,1,2.12,3,2.75,2.38,1,0.67,2,1,1.5,0.33,1.06,1.72
EMP_043,Junior,Solution Architecture,2,Western Europe,balanced,0,0,0,1,1,3,4,0,2,2,1,1,0,0,1,1,2,0,1,2,0,2,1,2,1,1,1,1,1,2,2,0,1,3,1.12,2,1,1.15,0.67,1,1.33,1.33,1,1.33,1.12,1.14
EMP_044,Mid-level,Data Engineering,6,Eastern Europe,balanced,0,1,3,3,1,1,2,2,2,3,1,0,2,2,3,4,3,2,3,2,2,2,1,4,2,3,2,2,3,2,3,1,0,4,1.62,2,1.5,1.62,3,2.67,2,2.33,2.5,2.33,2.47,2.04
EMP_045,Senior,Data Engineering,21,Eastern Europe,balanced,3,5,5,3,3,2,2,2,3,5,3,2,2,4,3,3,4,4,5,5,4,5,3,5,3,3,3,4,4,3,2,3,6,11,3.12,3,3,3.08,3.33,4.33,4.67,3.67,3,3.67,3.82,3.45
EMP_046,Junior,Solution Architecture,2,Central Europe,balanced,3,2,2,1,0,0,2,0,1,2,1,0,0,2,1,0,1,1,1,2,2,2,1,2,1,1,1,0,2,1,0,0,2,2,1.25,1,0.75,1.08,1,1,2,1.33,1,1,1.24,1.16
EMP_047,Mid-level,Client Services,4,Middle East,balanced,1,2,0,2,3,1,1,1,3,4,0,1,2,4,3,2,2,2,3,2,4,2,2,1,1,2,3,3,1,3,3,1,1,5,1.38,3,1.75,1.62,3,2.33,2.67,1.33,2.5,2.33,2.35,1.98
EMP_048,Mid-level,Solution Architecture,7,Western Europe,balanced,4,2,1,2,3,3,3,2,3,3,3,2,2,3,2,4,2,2,4,3,4,2,3,4,1,2,3,2,2,3,2,2,0,4,2.5,3,2.5,2.54,3,2.67,3,2.67,2.5,2.33,2.71,2.62
EMP_049,Mid-level,Platform Engineering,8,Central Europe,balanced,3,1,2,2,2,2,2,2,3,3,3,2,0,2,1,2,2,3,4,4,2,2,1,2,3,4,2,2,2,3,1,1,3,5,2,3,2,2.08,1.67,3,2.67,2,3,2.33,2.41,2.24
EMP_050,Mid-level,Client Services,6,Eastern Europe,alice,0,1,2,4,2,2,0,1,3,2,1,0,2,2,2,3,0,0,0,1,1,1,3,1,1,0,1,3,1,2,2,1,1,4,1.5,3,1.25,1.54,2.33,0,1,1.67,0.5,2,1.29,1.42
EMP_051,Mid-level,Data Engineering,6,Central Europe,balanced,1,0,3,2,1,5,2,2,3,3,1,1,4,1,1,4,3,2,4,2,2,3,4,2,3,3,3,2,1,3,1,0,0,1,2,3,2.25,2.15,2,3,2.33,3,3,2,2.53,2.34
EMP_052,Mid-level,Data Engineering,8,Eastern Europe,alice,3,2,2,3,1,3,4,1,2,3,1,2,1,2,2,0,2,2,2,2,1,1,1,2,0,0,1,1,1,1,1,2,0,3,2.38,2,1.75,2.15,1.33,2,1.33,1,0.5,1,1.24,1.69
EMP_053,Mid-level,Analytics & BI,5,Eastern Europe,balanced,1,3,2,3,2,1,0,1,2,3,1,1,1,3,2,1,2,3,3,3,4,2,4,3,0,4,1,2,3,1,0,3,4,7,1.62,2,1.5,1.62,2,2.67,3,2.33,2.5,2,2.41,2.02
EMP_054,Mid-level,Client Services,4,Central Europe,balanced,4,3,2,2,0,1,2,3,3,4,1,0,1,3,4,3,3,3,2,2,2,2,2,2,2,3,2,1,2,2,3,2,1,6,2.12,3,1.5,2,3.33,2.67,2,2,2.5,1.67,2.35,2.17
EMP_055,Junior,Analytics & BI,1,Middle East,balanced,1,0,1,2,1,1,0,1,2,2,0,1,0,3,0,2,1,1,1,1,1,0,2,1,1,1,0,1,3,2,0,2,1,3,0.88,2,0.75,0.92,1.67,1,0.67,1.33,0.5,2,1.24,1.08
EMP_056,Junior,Analytics & BI,3,Africa,alice,1,1,0,0,0,0,1,0,3,2,1,0,3,2,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,1,0,4,0.38,3,1.5,0.92,1.67,0.33,0,0.33,0.5,0.33,0.53,0.73
EMP_057,Senior,Analytics & BI,13,Central Europe,balanced,4,2,3,2,3,5,3,3,3,5,3,3,3,3,3,2,4,4,3,3,4,4,4,3,3,4,4,3,5,2,1,1,1,3,3.12,3,3.5,3.23,2.67,3.67,3.67,3.33,4,3.33,3.41,3.32
EMP_058,Senior,Platform Engineering,18,Western Europe,balanced,3,3,2,3,5,4,3,2,4,5,2,4,4,3,4,2,3,4,5,4,3,3,3,4,4,3,3,4,3,3,3,3,3,9,3.12,4,3.75,3.38,3,4,3.33,3.67,3,3.33,3.41,3.4
EMP_059,Junior,Platform Engineering,3,Western Europe,balanced,1,0,0,2,0,3,0,3,3,2,0,3,1,1,1,0,2,1,0,1,0,0,1,2,0,2,1,1,0,1,1,2,1,4,1.12,3,1.5,1.38,0.67,1,0.33,1,1.5,0.67,0.82,1.1
EMP_060,Mid-level,Data Engineering,8,Eastern Europe,balanced,2,2,5,4,1,2,4,1,2,3,1,1,1,2,3,3,4,2,3,3,2,3,2,2,1,2,2,4,2,1,2,1,1,4,2.62,2,1.5,2.23,2.67,3,2.67,1.67,2,2.33,2.41,2.32
EMP_061,Mid-level,Platform Engineering,4,Eastern Europe,balanced,3,1,1,4,3,4,2,2,3,4,1,3,1,3,3,3,3,2,2,2,3,3,3,4,2,3,1,2,3,3,1,1,3,5,2.5,3,2.25,2.46,3,2.33,2.67,3,2,2.67,2.65,2.55
EMP_062,Junior,Platform Engineering,3,Middle East,balanced,2,2,0,0,1,0,1,1,2,3,1,0,1,1,2,1,0,1,1,1,1,1,1,0,1,2,2,2,1,0,0,0,1,1,0.88,2,1.25,1.08,1.33,0.67,1,0.67,2,1,1.06,1.07
EMP_063,Senior,Platform Engineering,8,Africa,balanced,4,4,3,2,4,3,2,2,4,5,2,2,3,3,4,4,2,3,2,3,4,2,3,3,3,4,3,4,3,3,4,4,2,10,3,4,3,3.08,3.67,2.33,3,3,3.5,3.33,3.12,3.1
EMP_064,Senior,Client Services,8,Central Europe,alice,5,2,2,5,3,4,3,3,5,5,4,2,3,4,3,2,4,2,3,2,3,2,1,4,4,3,2,3,3,3,2,1,0,3,3.38,5,3.5,3.54,3,3,2.33,3,2.5,3,2.82,3.18
EMP_065,Mid-level,Platform Engineering,6,Middle East,balanced,2,1,0,3,2,1,2,2,3,3,1,0,3,2,1,2,2,3,2,3,3,3,2,4,1,3,2,4,4,2,2,1,0,3,1.62,3,1.75,1.77,1.67,2.33,3,2.33,2.5,3.33,2.53,2.15
EMP_066,Mid-level,Solution Architecture,4,Western Europe,balanced,3,2,3,2,2,4,3,2,4,2,2,2,1,3,3,3,1,3,2,2,3,2,3,1,2,3,2,1,2,2,2,2,3,7,2.62,4,1.75,2.46,3,2,2.33,2,2.5,1.67,2.24,2.35
EMP_067,Mid-level,Solution Architecture,4,Eastern Europe,alice,1,1,2,3,4,2,1,1,4,5,0,0,2,2,0,1,0,1,2,2,0,1,1,2,1,1,0,2,2,1,2,0,1,3,1.88,4,1.75,2,1,1,1,1.33,0.5,1.67,1.12,1.56
EMP_068,Junior,Solution Architecture,1,Western Europe,balanced,0,1,1,2,1,1,0,0,1,3,0,1,0,2,1,0,1,2,2,1,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0.75,1,1,0.85,1,1.67,0.67,0.67,1,0.33,0.88,0.86
EMP_069,Junior,Platform Engineering,3,Africa,balanced,1,0,0,1,0,1,0,3,2,4,1,0,2,0,3,0,0,0,1,1,0,2,2,2,2,2,1,0,0,2,1,3,1,5,0.75,2,1.75,1.15,1,0.33,1,2,1.5,0.67,1.06,1.1
EMP_070,Senior,Platform Engineering,9,Africa,balanced,3,4,2,4,2,4,5,3,3,4,3,2,4,2,4,2,4,4,3,4,4,3,3,2,3,3,4,3,4,3,6,1,2,9,3.38,3,3.25,3.31,2.67,3.67,3.67,2.67,3.5,3.33,3.24,3.28
EMP_071,Mid-level,Platform Engineering,6,Middle East,balanced,2,1,4,1,0,2,1,2,3,4,2,3,3,3,4,4,4,2,1,2,3,2,2,3,1,3,3,3,3,4,0,3,1,4,1.62,3,3,2.15,3.67,2.33,2.33,2,3,3.33,2.76,2.46
EMP_072,Senior,Data Engineering,18,Western Europe,balanced,2,5,3,4,2,3,3,4,4,5,3,5,3,4,3,5,3,3,2,4,4,4,2,5,3,3,4,4,4,4,4,3,5,12,3.25,4,4,3.54,4,2.67,4,3.33,3.5,4,3.59,3.56
EMP_073,Mid-level,Analytics & BI,8,Middle East,balanced,2,2,2,2,1,3,2,1,2,3,1,1,3,1,2,3,1,1,3,3,2,2,3,3,1,3,4,2,1,1,0,0,3,3,1.88,2,2,1.92,2,1.67,2.33,2.33,3.5,1.33,2.12,2.02
EMP_074,Mid-level,Data Engineering,5,Middle East,balanced,3,1,3,2,2,2,2,2,2,4,1,0,2,4,4,2,3,2,1,2,4,2,2,2,3,4,4,2,3,1,2,1,1,4,2.12,2,1.75,2,3.33,2,2.67,2.33,4,2,2.65,2.33
EMP_075,Senior,Analytics & BI,13,Africa,balanced,4,5,4,2,4,3,3,5,5,5,4,3,5,5,3,3,3,3,2,4,3,3,4,4,3,5,4,5,4,5,7,4,1,12,3.75,5,4.25,4,3.67,2.67,3.33,3.67,4.5,4.67,3.71,3.86
EMP_076,Junior,Analytics & BI,2,Middle East,balanced,0,1,2,0,0,2,0,1,1,2,0,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,2,4,0,6,0.75,1,1,0.85,1.67,1.67,1.67,1.33,1.5,1.33,1.53,1.19
EMP_077,Mid-level,Platform Engineering,8,Middle East,balanced,0,2,3,3,1,1,4,1,3,4,1,2,2,2,3,1,2,1,3,2,1,3,2,2,2,4,2,3,3,3,2,1,3,6,1.88,3,2.25,2.08,2,2,2,2,3,3,2.29,2.18
EMP_078,Mid-level,Client Services,7,Africa,alice,1,2,4,3,2,1,3,3,2,3,1,1,4,2,3,0,2,0,1,1,0,1,2,2,2,3,1,2,1,1,2,2,1,5,2.38,2,2.25,2.31,1.67,1,0.67,2,2,1.33,1.41,1.86
EMP_079,Junior,Platform Engineering,2,Western Europe,balanced,0,0,1,3,0,1,1,1,0,2,1,1,0,1,1,0,2,1,1,0,2,1,1,0,1,1,1,3,1,1,0,0,2,2,0.88,0,1,0.85,0.67,1.33,1,0.67,1,1.67,1.06,0.96
EMP_080,Senior,Client Services,14,Eastern Europe,balanced,3,2,5,3,3,2,1,4,4,5,1,4,2,4,3,2,5,4,4,3,3,3,3,4,3,4,3,2,4,3,7,3,4,14,2.88,4,3,3,3,4.33,3,3.33,3.5,3,3.35,3.18
EMP_081,Mid-level,Solution Architecture,5,Central Europe,balanced,0,2,3,2,2,4,2,2,2,4,2,1,1,3,1,2,4,1,4,2,0,1,2,2,2,1,3,2,4,2,3,0,0,3,2.12,2,2,2.08,2,3,1,2,2,2.67,2.12,2.1
EMP_082,Mid-level,Solution Architecture,5,Western Europe,balanced,1,1,3,1,1,1,3,3,3,3,2,1,3,4,2,3,1,2,2,2,2,2,1,2,1,3,1,1,3,3,4,1,2,7,1.75,3,2.25,2,3,1.67,2,1.33,2,2.33,2.06,2.03
EMP_083,Mid-level,Analytics & BI,7,Middle East,balanced,3,4,2,1,1,2,1,2,2,3,0,1,3,3,3,3,2,2,2,3,1,3,3,4,2,3,4,2,1,1,3,5,1,9,2,2,1.75,1.92,3,2,2.33,3,3.5,1.33,2.47,2.2
EMP_084,Mid-level,Platform Engineering,6,Middle East,balanced,3,2,2,3,1,2,3,1,2,3,1,1,2,3,4,3,3,1,2,2,2,2,1,4,3,3,2,4,3,3,4,2,0,6,2.12,2,1.75,2,3.33,2,2,2.67,2.5,3.33,2.65,2.33
EMP_085,Mid-level,Platform Engineering,5,Western Europe,alice,0,3,2,2,4,1,4,0,3,4,2,3,1,1,0,0,2,2,1,1,0,2,2,4,1,1,1,2,1,0,2,0,1,3,2,3,2.5,2.23,0.33,1.67,1,2.33,1,1,1.24,1.74
EMP_086,Junior,Platform Engineering,3,Middle East,balanced,1,1,0,1,0,0,0,2,1,3,0,1,1,0,1,0,1,2,0,2,2,2,1,1,1,1,1,1,2,2,0,0,1,1,0.62,1,1.25,0.85,0.33,1,2,1,1,1.67,1.18,1.01
EMP_087,Junior,Solution Architecture,2,Eastern Europe,balanced,3,2,1,0,0,1,1,3,1,2,0,1,1,0,3,2,2,0,0,1,2,2,2,1,0,2,0,3,1,2,2,0,2,4,1.38,1,1,1.23,1.67,0.67,1.67,1,1,2,1.35,1.29
EMP_088,Mid-level,Platform Engineering,8,Eastern Europe,alice,1,2,3,3,3,3,2,1,1,3,1,2,1,1,1,0,1,1,1,1,3,1,1,2,1,1,1,0,2,2,0,0,3,3,2.25,1,1.75,2,0.67,1,1.67,1.33,1,1.33,1.18,1.59
EMP_089,Mid-level,Platform Engineering,4,Central Europe,balanced,2,3,4,1,2,2,4,2,3,2,3,1,1,4,2,2,4,2,2,2,3,2,1,2,1,3,3,3,1,3,6,3,2,11,2.5,3,1.75,2.31,2.67,2.67,2.33,1.33,3,2.33,2.35,2.33
EMP_090,Senior,Analytics & BI,17,Africa,balanced,3,5,4,2,2,4,2,4,3,5,2,1,4,5,3,3,1,4,5,2,2,2,4,4,2,4,4,3,4,3,1,3,1,5,3.25,3,3,3.15,3.67,3.33,2,3.33,4,3.33,3.24,3.2
EMP_091,Mid-level,Platform Engineering,5,Central Europe,balanced,4,2,3,1,1,2,1,2,3,3,4,0,2,3,3,1,4,2,3,4,2,3,2,4,1,3,3,3,4,2,2,3,3,8,2,3,2.25,2.15,2.33,3,3,2.33,3,3,2.76,2.46
EMP_092,Mid-level,Client Services,4,Middle East,balanced,2,3,0,3,3,3,2,3,4,5,2,1,2,3,3,4,3,1,4,3,3,3,2,3,2,2,3,5,1,2,1,2,1,4,2.38,4,2.5,2.54,3.33,2.67,3,2.33,2.5,2.67,2.76,2.65
EMP_093,Mid-level,Client Services,4,Eastern Europe,balanced,2,2,2,3,4,2,3,3,3,4,0,1,0,2,2,2,4,3,4,1,2,1,2,2,3,2,3,3,4,1,5,1,0,6,2.62,3,1.25,2.23,2,3.67,1.33,2.33,2.5,2.67,2.41,2.32
EMP_094,Mid-level,Platform Engineering,8,Eastern Europe,balanced,3,2,2,1,1,3,1,3,2,4,1,2,2,3,2,2,3,3,1,3,1,2,4,2,1,3,1,2,3,2,5,2,0,7,2,2,2.25,2.08,2.33,2.33,2,2.33,2,2.33,2.24,2.16
