EMP_ID,Team,Seniority,Years_Exp,Profile_Type,in_degree,out_degree,in_strength,out_strength,betweenness_centrality,Cross_Team_Tie_Count,Weak_Tie_Outbound_Count,Weak_Cross_Team_Tie_Count,OutboundScarcity,WeakWeightShare,TargetConcentration,WeakBridgeDeficit,Isolation_Score,Isolation_Risk_Flag,Isolation_Risk_Tier
EMP_058,Data Engineering,Senior,17,balanced,2,3,1.1,2.33,0.006745,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_059,Platform Engineering,Junior,10,island,0,0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_060,Solution Architecture,Senior,4,balanced,2,4,1.67,1.77,0.020097,1,2,1,0.3333,0.5,0.25,0.8,0.4708,0,Medium
EMP_061,Platform Engineering,Mid-level,3,balanced,0,5,0.0,3.35,0.0,4,0,0,0.1667,0.0,0.2,1.0,0.3417,0,Low
EMP_062,Solution Architecture,Mid-level,12,broker,10,3,5.87,2.67,0.022246,2,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_063,Analytics & BI,Senior,15,balanced,0,5,0.0,2.43,0.0,4,3,3,0.1667,0.6,0.2,0.4,0.3417,0,Low
EMP_064,Platform Engineering,Junior,11,balanced,2,4,1.0,3.0,0.003793,2,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_065,Solution Architecture,Mid-level,16,broker,9,2,5.53,1.67,0.015335,2,0,0,0.6667,0.0,0.5,1.0,0.5417,0,Medium
EMP_066,Analytics & BI,Junior,13,balanced,2,5,2.0,3.33,0.019244,4,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_067,Information Management,Mid-level,2,island,1,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_068,Platform Engineering,Senior,15,hub,21,4,11.08,3.1,0.049123,2,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_069,Data Engineering,Junior,7,balanced,2,5,1.34,2.44,0.035049,3,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_070,Solution Architecture,Senior,14,balanced,1,4,1.0,1.77,0.006648,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_071,Solution Architecture,Mid-level,5,island,3,1,1.2,0.33,0.009551,1,1,1,0.8333,1.0,1.0,0.8,0.9083,1,High
EMP_072,Analytics & BI,Mid-level,8,balanced,4,5,2.1,2.43,0.005101,2,3,2,0.1667,0.6,0.2,0.6,0.3917,0,Low
EMP_073,Platform Engineering,Mid-level,8,balanced,2,4,1.1,1.3,0.008922,2,3,2,0.3333,0.75,0.25,0.6,0.4833,0,Medium
EMP_074,Analytics & BI,Mid-level,7,balanced,4,4,1.77,3.01,0.033712,2,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_075,Platform Engineering,Senior,15,balanced,3,5,2.01,3.0,0.031122,2,2,1,0.1667,0.4,0.2,0.8,0.3917,0,Low
EMP_076,Information Management,Mid-level,7,balanced,1,6,0.33,3.43,0.009506,3,3,2,0.0,0.5,0.1667,0.6,0.3167,0,Low
EMP_077,Data Engineering,Mid-level,17,balanced,2,4,1.0,2.44,0.004304,3,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_078,Solution Architecture,Senior,9,balanced,4,4,1.99,3.34,0.006975,2,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_079,Platform Engineering,Senior,10,balanced,1,3,0.33,3.0,0.013161,1,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_080,Analytics & BI,Senior,16,broker,8,4,2.75,3.34,0.026832,2,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_081,Data Engineering,Mid-level,3,balanced,2,2,1.34,1.33,0.001257,1,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_082,Platform Engineering,Mid-level,11,balanced,1,4,1.0,3.33,0.002817,3,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_083,Platform Engineering,Mid-level,9,balanced,1,5,0.1,2.44,0.000988,2,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_084,Information Management,Mid-level,15,balanced,3,4,1.44,2.77,0.009719,3,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_085,Data Engineering,Junior,11,balanced,0,5,0.0,2.2,0.0,3,3,2,0.1667,0.6,0.2,0.6,0.3917,0,Low
EMP_086,Solution Architecture,Senior,13,balanced,0,3,0.0,0.99,0.0,1,3,3,0.5,1.0,0.3333,0.4,0.5583,0,Medium
EMP_087,Platform Engineering,Junior,1,island,3,0,1.67,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_088,Client Services,Mid-level,4,balanced,4,3,3.34,1.67,0.051063,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_089,Data Engineering,Junior,9,island,2,0,1.1,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_090,Analytics & BI,Mid-level,16,balanced,7,3,5.34,2.34,0.027663,3,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_091,Client Services,Mid-level,18,balanced,1,5,1.0,3.1,0.00788,3,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_092,Analytics & BI,Mid-level,4,balanced,6,6,3.44,3.1,0.037755,4,3,3,0.0,0.5,0.1667,0.4,0.2667,0,Low
EMP_093,Solution Architecture,Junior,17,balanced,2,6,1.34,4.34,0.002589,5,1,1,0.0,0.1667,0.1667,0.8,0.2834,0,Low
EMP_094,Information Management,Senior,7,broker,5,3,2.21,1.67,0.008468,3,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_095,Information Management,Junior,4,balanced,1,2,0.1,1.67,0.0,2,0,0,0.6667,0.0,0.5,1.0,0.5417,0,Medium
EMP_096,Analytics & BI,Mid-level,9,balanced,1,4,0.33,2.1,0.000101,2,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_097,Data Engineering,Mid-level,14,balanced,6,6,1.86,3.67,0.022239,3,2,2,0.0,0.3333,0.1667,0.6,0.275,0,Low
EMP_098,Platform Engineering,Mid-level,12,balanced,1,5,1.0,3.33,0.006182,3,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_099,Analytics & BI,Mid-level,6,balanced,2,2,1.0,1.33,0.000303,1,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_100,Platform Engineering,Mid-level,9,island,1,0,0.67,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_101,Data Engineering,Mid-level,17,balanced,4,5,2.68,2.66,0.010493,4,3,2,0.1667,0.6,0.2,0.6,0.3917,0,Low
EMP_102,Platform Engineering,Mid-level,3,balanced,3,3,1.77,1.33,0.009306,2,2,1,0.5,0.6667,0.3333,0.8,0.575,0,Medium
EMP_103,Analytics & BI,Junior,7,balanced,2,6,1.67,3.66,0.013636,4,3,3,0.0,0.5,0.1667,0.4,0.2667,0,Low
EMP_104,Information Management,Senior,14,balanced,1,5,0.33,2.77,0.003472,3,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_105,Platform Engineering,Mid-level,5,broker,11,4,6.09,3.0,0.026494,2,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_106,Platform Engineering,Junior,9,island,1,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_107,Information Management,Senior,2,balanced,3,6,2.67,3.33,0.025605,3,3,2,0.0,0.5,0.1667,0.6,0.3167,0,Low
EMP_108,Solution Architecture,Mid-level,8,broker,10,4,7.1,2.34,0.036681,3,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_109,Data Engineering,Mid-level,10,balanced,2,3,1.67,1.67,0.00606,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_110,Data Engineering,Mid-level,1,island,0,0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_111,Client Services,Senior,18,balanced,2,6,1.34,3.67,0.018529,4,2,2,0.0,0.3333,0.1667,0.6,0.275,0,Low
EMP_112,Data Engineering,Mid-level,12,balanced,1,4,0.33,0.97,0.003019,2,3,3,0.3333,0.75,0.25,0.4,0.4333,0,Medium
EMP_113,Client Services,Senior,17,balanced,1,5,0.33,3.68,0.013937,4,0,0,0.1667,0.0,0.2,1.0,0.3417,0,Low
EMP_114,Information Management,Mid-level,8,broker,11,4,6.87,0.86,0.009046,4,4,4,0.3333,1.0,0.25,0.2,0.4458,0,Medium
EMP_115,Data Engineering,Mid-level,8,balanced,0,4,0.0,1.87,0.0,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_116,Data Engineering,Junior,14,balanced,1,5,0.33,2.66,0.005331,3,3,3,0.1667,0.6,0.2,0.4,0.3417,0,Low
EMP_117,Analytics & BI,Mid-level,9,balanced,3,3,1.33,1.67,0.009571,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_118,Platform Engineering,Mid-level,12,balanced,2,5,1.0,2.44,0.004136,3,2,1,0.1667,0.4,0.2,0.8,0.3917,0,Low
EMP_119,Client Services,Junior,2,balanced,0,6,0.0,3.44,0.0,2,2,2,0.0,0.3333,0.1667,0.6,0.275,0,Low
EMP_120,Information Management,Mid-level,4,balanced,1,4,0.33,1.43,0.000617,3,3,3,0.3333,0.75,0.25,0.4,0.4333,0,Medium
EMP_121,Analytics & BI,Senior,15,balanced,4,4,3.01,2.34,0.030813,2,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_122,Platform Engineering,Junior,7,island,4,0,2.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_123,Solution Architecture,Junior,9,balanced,4,5,2.44,3.0,0.006659,3,2,1,0.1667,0.4,0.2,0.8,0.3917,0,Low
EMP_124,Analytics & BI,Senior,4,balanced,0,5,0.0,3.34,0.0,2,1,0,0.1667,0.2,0.2,1.0,0.3917,0,Low
EMP_125,Solution Architecture,Senior,12,balanced,4,2,1.77,0.43,0.0,1,2,2,0.6667,1.0,0.5,0.6,0.6917,1,High
EMP_126,Analytics & BI,Senior,8,hub,33,2,20.18,1.67,0.037998,2,0,0,0.6667,0.0,0.5,1.0,0.5417,0,Medium
EMP_127,Client Services,Junior,8,balanced,0,4,0.0,1.87,0.0,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_128,Analytics & BI,Mid-level,1,island,2,0,1.67,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_129,Data Engineering,Mid-level,15,balanced,3,5,1.77,3.01,0.023802,4,1,1,0.1667,0.2,0.2,0.8,0.3417,0,Low
EMP_130,Solution Architecture,Mid-level,14,balanced,5,6,2.1,3.66,0.031928,4,3,3,0.0,0.5,0.1667,0.4,0.2667,0,Low
EMP_131,Solution Architecture,Mid-level,12,balanced,3,2,2.0,0.77,0.003472,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_132,Platform Engineering,Mid-level,7,balanced,3,2,2.67,1.0,0.019379,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_133,Analytics & BI,Mid-level,4,island,2,1,0.77,0.1,0.000146,1,1,1,0.8333,1.0,1.0,0.8,0.9083,1,High
EMP_134,Solution Architecture,Junior,17,balanced,6,5,3.67,3.0,0.027828,4,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_135,Information Management,Junior,4,island,0,0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_136,Platform Engineering,Mid-level,5,balanced,1,4,0.1,1.09,0.0,2,4,4,0.3333,1.0,0.375,0.2,0.4771,0,Medium
EMP_137,Analytics & BI,Senior,3,balanced,2,5,0.66,1.64,0.004543,3,3,2,0.1667,0.6,0.2,0.6,0.3917,0,Low
EMP_138,Analytics & BI,Mid-level,12,balanced,2,4,1.33,2.68,0.009072,3,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_139,Data Engineering,Mid-level,5,island,3,0,2.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_140,Data Engineering,Mid-level,2,island,1,1,0.33,0.67,4.5e-05,1,0,0,0.8333,0.0,1.0,1.0,0.7083,1,High
EMP_141,Client Services,Mid-level,12,balanced,3,4,2.01,2.44,0.009151,3,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_142,Analytics & BI,Junior,10,island,1,0,0.67,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_143,Information Management,Senior,5,balanced,1,2,1.0,1.0,0.001218,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_144,Analytics & BI,Mid-level,15,broker,10,2,4.97,1.34,0.01045,2,0,0,0.6667,0.0,0.5,1.0,0.5417,0,Medium
EMP_145,Client Services,Senior,17,balanced,2,4,1.33,3.01,0.021234,4,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_146,Analytics & BI,Mid-level,17,balanced,3,3,1.67,0.53,0.002997,3,3,3,0.5,1.0,0.3333,0.4,0.5583,0,Medium
EMP_147,Analytics & BI,Junior,4,balanced,3,4,2.01,2.67,0.011468,3,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_148,Solution Architecture,Mid-level,3,balanced,1,3,0.67,1.77,0.004573,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_149,Client Services,Senior,6,balanced,3,4,2.34,3.34,0.036857,2,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_150,Analytics & BI,Senior,12,balanced,1,4,0.1,1.77,0.0,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_151,Analytics & BI,Junior,1,island,3,2,0.76,0.66,0.003098,2,2,2,0.6667,1.0,0.5,0.6,0.6917,1,High
EMP_152,Solution Architecture,Junior,12,balanced,2,3,1.34,1.67,0.006869,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_153,Data Engineering,Junior,1,island,3,1,2.34,0.1,0.0,0,1,0,0.8333,1.0,1.0,1.0,0.9583,1,High
EMP_154,Information Management,Junior,16,balanced,3,6,1.44,3.0,0.018095,4,3,3,0.0,0.5,0.1667,0.4,0.2667,0,Low
EMP_155,Analytics & BI,Mid-level,8,balanced,0,5,0.0,3.01,0.0,3,1,1,0.1667,0.2,0.2,0.8,0.3417,0,Low
EMP_156,Platform Engineering,Senior,11,broker,6,4,4.34,2.77,0.031919,3,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_157,Data Engineering,Mid-level,2,balanced,1,5,0.67,2.1,0.05946,4,3,3,0.1667,0.6,0.2,0.4,0.3417,0,Low
EMP_158,Data Engineering,Mid-level,13,balanced,1,5,0.1,3.11,0.0,3,1,1,0.1667,0.2,0.2,0.8,0.3417,0,Low
EMP_159,Analytics & BI,Senior,8,hub,33,3,20.67,2.67,0.065263,2,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_160,Client Services,Mid-level,10,balanced,3,6,2.34,5.0,0.044341,3,1,1,0.0,0.1667,0.1667,0.8,0.2834,0,Low
EMP_161,Client Services,Senior,7,broker,8,4,3.19,1.54,0.010359,3,2,1,0.3333,0.5,0.25,0.8,0.4708,0,Medium
EMP_162,Platform Engineering,Mid-level,9,balanced,4,4,1.2,3.33,0.008079,1,1,0,0.3333,0.25,0.25,1.0,0.4583,0,Medium
EMP_163,Platform Engineering,Mid-level,9,balanced,4,5,0.97,2.1,0.012355,4,3,3,0.1667,0.6,0.2,0.4,0.3417,0,Low
EMP_164,Solution Architecture,Mid-level,7,broker,10,4,6.0,3.01,0.036776,2,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_165,Information Management,Junior,3,balanced,1,4,0.33,2.0,0.012738,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_166,Analytics & BI,Senior,20,hub,29,3,19.57,2.0,0.059378,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_167,Analytics & BI,Junior,10,balanced,0,3,0.0,1.67,0.0,3,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_168,Data Engineering,Senior,14,balanced,2,4,0.43,1.77,0.001212,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_169,Client Services,Junior,16,balanced,3,4,2.0,1.32,0.011999,2,4,3,0.3333,1.0,0.25,0.4,0.4958,0,Medium
EMP_170,Solution Architecture,Junior,6,balanced,1,6,0.1,3.34,0.006038,3,2,2,0.0,0.3333,0.1667,0.6,0.275,0,Low
EMP_171,Analytics & BI,Mid-level,6,balanced,1,4,0.67,3.01,0.003017,3,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_172,Solution Architecture,Junior,4,balanced,3,4,2.01,3.67,0.015149,4,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_173,Solution Architecture,Mid-level,10,broker,6,4,3.67,3.01,0.035872,3,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_174,Data Engineering,Mid-level,10,balanced,3,5,1.1,2.32,0.005892,4,4,4,0.1667,0.8,0.2,0.2,0.3417,0,Low
EMP_175,Analytics & BI,Mid-level,3,island,4,0,1.77,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_176,Client Services,Mid-level,8,broker,10,3,4.77,2.0,0.022542,1,1,0,0.5,0.3333,0.3333,1.0,0.5416,0,Medium
EMP_177,Solution Architecture,Mid-level,4,balanced,2,3,1.33,2.34,0.002104,2,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_178,Platform Engineering,Mid-level,16,balanced,3,5,1.44,2.1,0.003176,4,3,3,0.1667,0.6,0.2,0.4,0.3417,0,Low
EMP_179,Solution Architecture,Senior,4,balanced,1,5,1.0,3.34,0.008877,2,1,1,0.1667,0.2,0.2,0.8,0.3417,0,Low
EMP_180,Client Services,Junior,17,balanced,1,2,0.33,1.33,0.000213,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_181,Platform Engineering,Junior,5,balanced,4,5,1.77,2.87,0.011442,3,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_182,Information Management,Mid-level,15,balanced,1,6,1.0,3.77,0.002205,4,2,2,0.0,0.3333,0.1667,0.6,0.275,0,Low
EMP_183,Platform Engineering,Senior,3,balanced,5,4,3.68,3.01,0.052236,2,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_184,Solution Architecture,Mid-level,10,balanced,3,4,1.1,2.44,0.001914,2,1,0,0.3333,0.25,0.25,1.0,0.4583,0,Medium
EMP_185,Platform Engineering,Senior,11,balanced,4,6,1.43,3.34,0.004429,3,2,2,0.0,0.3333,0.1667,0.6,0.275,0,Low
