Source_EMP_ID,Target_EMP_ID,Interaction_Type,Interaction_Frequency,Awareness_Score,Energy_Score,Nomination_Rank
EMP_129,EMP_299,Hard,Weekly,4,3,2
EMP_129,EMP_092,Hard,Weekly,4,5,3
EMP_129,EMP_079,Soft,Monthly,4,4,1
EMP_129,EMP_211,Soft,Weekly,5,5,2
EMP_130,EMP_247,Hard,Daily,5,5,1
EMP_130,EMP_027,Hard,Weekly,4,3,2
EMP_130,EMP_201,Hard,Monthly,3,2,3
EMP_130,EMP_072,Soft,Monthly,4,2,1
EMP_130,EMP_243,Soft,Monthly,3,4,2
EMP_130,EMP_058,Soft,Daily,5,5,3
EMP_131,EMP_126,Hard,Rarely,1,1,1
EMP_131,EMP_259,Soft,Weekly,4,3,1
EMP_132,EMP_166,Hard,Monthly,4,4,1
EMP_132,EMP_298,Soft,Weekly,5,4,1
EMP_133,EMP_089,Hard,Rarely,1,1,1
EMP_134,EMP_126,Hard,Monthly,3,4,1
EMP_134,EMP_024,Hard,Weekly,3,5,2
EMP_134,EMP_197,Soft,Monthly,3,3,1
EMP_134,EMP_222,Soft,Daily,5,4,2
EMP_134,EMP_056,Soft,Weekly,5,3,3
EMP_136,EMP_247,Hard,Monthly,3,4,1
EMP_136,EMP_144,Soft,Rarely,3,1,1
EMP_136,EMP_247,Soft,Monthly,3,3,2
EMP_136,EMP_017,Soft,Monthly,2,4,3
EMP_137,EMP_184,Hard,Weekly,4,4,1
EMP_137,EMP_163,Hard,Rarely,2,3,2
EMP_137,EMP_241,Hard,Weekly,3,5,3
EMP_137,EMP_267,Soft,Rarely,1,1,1
EMP_137,EMP_162,Soft,Rarely,3,1,2
EMP_138,EMP_134,Hard,Weekly,4,3,1
EMP_138,EMP_160,Hard,Weekly,3,5,2
EMP_138,EMP_181,Soft,Weekly,3,5,1
EMP_138,EMP_256,Soft,Weekly,4,5,2
EMP_140,EMP_012,Soft,Weekly,3,5,1
EMP_141,EMP_159,Hard,Daily,5,4,1
EMP_141,EMP_175,Hard,Weekly,5,4,2
EMP_141,EMP_174,Hard,Rarely,1,1,3
EMP_141,EMP_065,Soft,Weekly,4,3,1
EMP_143,EMP_068,Hard,Weekly,3,5,1
EMP_143,EMP_161,Soft,Monthly,2,2,1
EMP_144,EMP_210,Soft,Weekly,4,5,1
EMP_144,EMP_288,Soft,Weekly,4,5,2
EMP_145,EMP_126,Hard,Weekly,5,4,1
EMP_145,EMP_052,Hard,Weekly,3,5,2
EMP_145,EMP_055,Hard,Weekly,4,3,3
EMP_145,EMP_183,Soft,Daily,5,4,1
EMP_146,EMP_198,Hard,Monthly,2,4,1
EMP_146,EMP_211,Hard,Rarely,2,1,2
EMP_146,EMP_062,Soft,Rarely,2,3,1
EMP_147,EMP_198,Hard,Daily,5,5,1
EMP_147,EMP_242,Hard,Weekly,4,3,2
EMP_147,EMP_156,Soft,Monthly,3,2,1
EMP_147,EMP_263,Soft,Weekly,5,3,2
EMP_148,EMP_068,Hard,Rarely,2,2,1
EMP_148,EMP_093,Hard,Weekly,4,3,2
EMP_148,EMP_207,Soft,Daily,5,4,1
EMP_149,EMP_219,Hard,Daily,5,5,1
EMP_149,EMP_013,Soft,Weekly,4,5,1
EMP_149,EMP_265,Soft,Weekly,3,4,2
EMP_149,EMP_279,Soft,Daily,5,5,3
EMP_150,EMP_129,Hard,Rarely,2,1,1
EMP_150,EMP_097,Hard,Monthly,4,4,2
EMP_150,EMP_087,Hard,Weekly,5,3,3
EMP_150,EMP_173,Soft,Weekly,5,5,1
EMP_151,EMP_185,Hard,Monthly,3,3,1
EMP_151,EMP_168,Soft,Monthly,2,3,1
EMP_152,EMP_159,Hard,Weekly,4,5,1
EMP_152,EMP_077,Hard,Weekly,4,3,2
EMP_152,EMP_202,Soft,Monthly,4,4,1
EMP_153,EMP_197,Hard,Rarely,1,1,1
EMP_154,EMP_198,Hard,Monthly,2,4,1
EMP_154,EMP_043,Hard,Weekly,5,4,2
EMP_154,EMP_034,Hard,Weekly,4,3,3
